"cut","carat","color","price"
"Fair",0.7,"G",2797
"Premium",0.8,"F",2797
"Fair",1.01,"E",2797
"Very Good",0.8,"H",2797
"Ideal",0.77,"I",2798
"Very Good",0.83,"E",2799
"Ideal",0.82,"F",2799
"Ideal",0.78,"D",2799
"Very Good",0.6,"G",2800
"Good",0.9,"I",2800
"Premium",0.7,"E",2800
"Very Good",0.9,"I",2800
"Ideal",0.83,"G",2800
"Ideal",0.83,"G",2800
"Very Good",0.83,"H",2800
"Premium",0.74,"G",2800
"Ideal",0.79,"I",2800
"Ideal",0.61,"G",2800
"Fair",0.76,"G",2800
"Ideal",0.96,"F",2801
"Ideal",0.73,"F",2801
"Premium",0.73,"F",2801
"Ideal",0.75,"H",2801
"Premium",0.71,"F",2801
"Good",0.71,"F",2801
"Good",0.71,"F",2801
"Premium",0.71,"F",2801
"Premium",1.04,"G",2801
"Premium",1,"J",2801
"Very Good",0.87,"G",2802
"Ideal",0.53,"F",2802
"Premium",0.72,"E",2802
"Premium",0.72,"F",2802
"Very Good",0.7,"F",2803
"Very Good",0.74,"E",2803
"Ideal",0.71,"G",2803
"Ideal",0.73,"E",2803
"Good",0.7,"G",2803
"Premium",0.71,"F",2803
"Premium",0.71,"F",2803
"Premium",0.71,"G",2803
"Premium",0.77,"G",2803
"Premium",0.71,"G",2803
"Premium",0.78,"G",2803
"Very Good",0.71,"G",2803
"Ideal",0.91,"D",2803
"Very Good",0.71,"E",2804
"Very Good",0.71,"E",2804
"Very Good",0.8,"E",2804
"Very Good",0.7,"D",2804
"Ideal",0.72,"F",2804
"Very Good",0.72,"F",2804
"Ideal",0.82,"H",2804
"Ideal",0.7,"D",2804
"Ideal",0.72,"D",2804
"Ideal",0.72,"D",2804
"Fair",0.9,"I",2804
"Premium",0.74,"F",2805
"Premium",0.74,"F",2805
"Ideal",0.73,"E",2805
"Fair",0.57,"E",2805
"Premium",0.73,"F",2805
"Ideal",0.72,"G",2805
"Fair",0.74,"F",2805
"Good",0.82,"G",2805
"Very Good",0.81,"G",2806
"Very Good",0.75,"H",2806
"Ideal",0.7,"F",2806
"Very Good",0.71,"F",2807
"Very Good",0.71,"F",2807
"Premium",0.93,"J",2807
"Very Good",0.8,"H",2808
"Very Good",0.7,"F",2808
"Fair",1,"G",2808
"Very Good",0.75,"G",2808
"Ideal",0.58,"E",2808
"Very Good",0.73,"D",2808
"Very Good",0.81,"F",2809
"Premium",0.81,"D",2809
"Premium",0.71,"F",2809
"Fair",1.2,"F",2809
"Very Good",0.7,"F",2810
"Very Good",0.7,"F",2810
"Ideal",0.74,"D",2810
"Good",0.7,"F",2810
"Good",0.8,"G",2810
"Very Good",0.75,"F",2811
"Very Good",0.83,"D",2811
"Fair",1,"J",2811
"Fair",0.99,"I",2811
"Very Good",0.7,"G",2812
"Very Good",0.7,"F",2812
"Good",0.7,"E",2812
"Very Good",0.7,"F",2812
"Premium",0.32,"I",554
"Premium",0.32,"I",554
"Ideal",0.32,"I",554
"Premium",0.32,"I",554
"Very Good",0.32,"I",554
"Ideal",0.32,"I",554
"Premium",0.3,"H",554
"Premium",0.3,"H",554
"Premium",0.3,"H",554
"Very Good",0.3,"H",554
"Good",0.3,"H",554
"Ideal",0.3,"H",554
"Very Good",0.3,"H",554
"Good",0.32,"I",554
"Ideal",0.33,"H",554
"Very Good",0.29,"E",555
"Very Good",0.29,"E",555
"Very Good",0.31,"F",555
"Ideal",0.34,"H",555
"Ideal",0.34,"H",555
"Ideal",0.34,"I",555
"Ideal",0.34,"I",555
"Ideal",0.3,"G",555
"Ideal",0.29,"F",555
"Ideal",0.35,"G",555
"Very Good",0.43,"E",555
"Very Good",0.32,"F",556
"Ideal",0.36,"I",556
"Ideal",0.3,"G",556
"Ideal",0.26,"E",556
"Very Good",0.7,"F",2812
"Very Good",0.7,"F",2812
"Ideal",0.71,"D",2812
"Fair",0.99,"J",2812
"Premium",0.73,"E",2812
"Ideal",0.51,"F",2812
"Premium",0.91,"G",2813
"Very Good",0.84,"E",2813
"Good",0.91,"I",2813
"Premium",0.76,"E",2814
"Ideal",0.76,"E",2814
"Premium",0.75,"E",2814
"Very Good",0.55,"D",2815
"Very Good",0.76,"F",2815
"Premium",0.74,"G",2815
"Ideal",0.7,"H",2815
"Ideal",0.7,"H",2815
"Ideal",0.7,"H",2815
"Ideal",0.7,"H",2815
"Fair",0.9,"J",2815
"Fair",0.95,"F",2815
"Premium",0.89,"H",2815
"Premium",0.72,"E",2815
"Fair",0.96,"E",2815
"Premium",1.02,"G",2815
"Very Good",0.78,"I",2816
"Ideal",0.61,"G",2816
"Good",0.71,"D",2816
"Premium",0.78,"F",2816
"Ideal",0.87,"H",2816
"Ideal",0.83,"H",2816
"Premium",0.71,"E",2817
"Ideal",0.71,"I",2817
"Ideal",0.71,"E",2817
"Premium",0.71,"E",2817
"Ideal",0.63,"F",2817
"Premium",0.71,"E",2817
"Premium",0.71,"E",2817
"Ideal",0.71,"E",2817
"Premium",0.71,"E",2817
"Ideal",0.9,"J",2817
"Good",0.71,"E",2817
"Premium",0.7,"E",2818
"Premium",0.7,"E",2818
"Premium",0.7,"E",2818
"Premium",1,"H",2818
"Premium",0.86,"F",2818
"Ideal",0.8,"H",2818
"Ideal",0.7,"E",2818
"Premium",0.7,"E",2818
"Premium",0.7,"F",2818
"Premium",0.7,"E",2818
"Fair",1,"H",2818
"Very Good",0.72,"G",2819
"Ideal",0.72,"H",2819
"Good",0.7,"F",2819
"Good",0.86,"F",2819
"Ideal",0.71,"G",2820
"Ideal",0.75,"E",2821
"Premium",0.73,"E",2821
"Ideal",0.53,"E",2821
"Premium",0.73,"E",2821
"Good",0.73,"E",2821
"Premium",0.73,"E",2821
"Premium",0.73,"E",2821
"Premium",0.73,"D",2821
"Very Good",0.73,"E",2821
"Premium",0.7,"E",2822
"Premium",0.72,"E",2822
"Premium",0.72,"E",2822
"Premium",0.72,"E",2822
"Premium",0.7,"E",2822
"Ideal",0.6,"F",2822
"Ideal",0.74,"I",2822
"Ideal",0.73,"F",2822
"Premium",0.71,"D",2822
"Premium",0.71,"D",2822
"Premium",0.7,"D",2822
"Ideal",0.7,"D",2822
"Good",0.9,"J",2822
"Ideal",0.71,"D",2822
"Premium",0.7,"E",2822
"Premium",0.7,"E",2822
"Ideal",0.7,"D",2822
"Good",0.7,"E",2822
"Ideal",0.7,"D",2822
"Ideal",0.7,"D",2822
"Premium",0.7,"E",2822
"Premium",0.7,"F",2822
"Ideal",0.7,"D",2822
"Very Good",0.79,"D",2823
"Good",0.9,"I",2823
"Premium",0.71,"E",2823
"Ideal",0.61,"E",2823
"Fair",0.9,"H",2823
"Ideal",0.71,"E",2823
"Premium",0.71,"D",2824
"Ideal",0.77,"I",2824
"Good",0.74,"E",2824
"Ideal",0.82,"F",2824
"Premium",0.82,"E",2824
"Premium",0.71,"G",2825
"Premium",0.83,"H",2825
"Very Good",0.73,"G",2825
"Premium",0.83,"H",2825
"Premium",1.17,"J",2825
"Fair",0.91,"H",2825
"Premium",0.73,"E",2826
"Good",0.7,"E",2826
"Premium",0.9,"I",2826
"Premium",0.7,"E",2826
"Very Good",0.7,"D",2826
"Premium",0.7,"E",2826
"Very Good",0.9,"I",2826
"Premium",0.78,"F",2826
"Ideal",0.96,"F",2826
"Very Good",0.7,"D",2827
"Good",0.72,"D",2827
"Premium",0.79,"H",2827
"Ideal",0.7,"H",2827
"Ideal",0.7,"H",2827
"Ideal",0.7,"D",2828
"Premium",1.01,"H",2828
"Premium",0.72,"F",2829
"Good",0.8,"E",2829
"Ideal",0.59,"E",2829
"Ideal",0.72,"F",2829
"Premium",0.75,"E",2829
"Premium",0.8,"E",2829
"Very Good",0.71,"E",2830
"Very Good",0.77,"H",2830
"Ideal",0.97,"F",2830
"Ideal",0.53,"F",2830
"Ideal",0.53,"F",2830
"Ideal",0.8,"I",2830
"Premium",0.9,"G",2830
"Very Good",0.76,"E",2831
"Ideal",0.72,"E",2831
"Ideal",0.75,"E",2831
"Premium",0.72,"E",2831
"Ideal",0.79,"G",2831
"Very Good",0.72,"F",2832
"Very Good",0.91,"I",2832
"Premium",0.71,"G",2832
"Premium",0.81,"G",2832
"Ideal",0.82,"H",2832
"Premium",0.71,"F",2832
"Good",0.9,"J",2832
"Very Good",0.8,"I",2833
"Very Good",0.56,"E",2833
"Very Good",0.7,"D",2833
"Ideal",0.7,"D",2833
"Ideal",0.61,"F",2833
"Ideal",0.85,"H",2833
"Ideal",0.7,"F",2833
"Ideal",0.8,"G",2834
"Ideal",0.8,"H",2834
"Very Good",0.51,"D",2834
"Ideal",0.53,"F",2834
"Ideal",0.78,"I",2834
"Very Good",0.9,"J",2834
"Fair",0.9,"G",2834
"Ideal",0.77,"E",2834
"Ideal",0.73,"F",2835
"Ideal",0.63,"F",2835
"Ideal",0.7,"E",2835
"Ideal",0.72,"E",2835
"Ideal",0.72,"E",2835
"Premium",0.75,"F",2835
"Very Good",0.82,"H",2836
"Good",0.71,"E",2836
"Premium",0.7,"E",2837
"Ideal",0.7,"E",2837
"Ideal",0.71,"F",2838
"Very Good",0.76,"H",2838
"Fair",0.82,"F",2838
"Premium",0.72,"F",2838
"Premium",0.7,"F",2838
"Premium",0.7,"F",2838
"Premium",0.7,"G",2838
"Premium",0.7,"F",2838
"Very Good",0.7,"E",2838
"Premium",0.7,"F",2838
"Premium",0.7,"F",2838
"Premium",0.7,"G",2838
"Very Good",0.74,"E",2839
"Ideal",0.71,"F",2839
"Ideal",0.7,"F",2839
"Ideal",0.71,"F",2839
"Premium",0.71,"F",2839
"Premium",0.71,"F",2839
"Premium",0.71,"F",2839
"Ideal",0.7,"F",2839
"Ideal",0.73,"G",2839
"Ideal",0.7,"E",2839
"Ideal",0.7,"G",2839
"Premium",0.71,"G",2839
"Premium",0.71,"F",2839
"Premium",0.79,"G",2839
"Premium",0.71,"F",2839
"Very Good",0.77,"H",2840
"Very Good",0.75,"F",2840
"Ideal",0.7,"F",2840
"Premium",0.71,"F",2840
"Ideal",0.92,"D",2840
"Premium",0.83,"F",2840
"Premium",0.7,"H",2840
"Premium",0.73,"F",2841
"Very Good",0.71,"D",2841
"Very Good",0.73,"D",2841
"Ideal",0.82,"F",2841
"Ideal",0.82,"F",2841
"Very Good",0.82,"F",2841
"Ideal",0.52,"F",2841
"Premium",1,"F",2841
"Fair",0.95,"G",2841
"Ideal",0.73,"D",2841
"Premium",0.73,"F",2841
"Premium",0.73,"G",2841
"Ideal",0.8,"I",2842
"Premium",0.7,"F",2842
"Very Good",0.7,"E",2843
"Very Good",0.7,"E",2843
"Very Good",0.71,"E",2843
"Very Good",0.81,"F",2843
"Very Good",0.71,"D",2843
"Ideal",0.73,"G",2843
"Very Good",0.73,"F",2843
"Ideal",0.72,"E",2843
"Ideal",0.81,"F",2843
"Ideal",0.71,"G",2843
"Very Good",0.73,"E",2844
"Very Good",0.7,"E",2844
"Ideal",1.01,"I",2844
"Good",1.01,"I",2844
"Ideal",0.79,"H",2844
"Very Good",0.7,"E",2845
"Very Good",0.7,"E",2845
"Good",0.8,"H",2845
"Premium",1.27,"H",2845
"Ideal",0.79,"D",2846
"Very Good",0.72,"F",2846
"Ideal",0.73,"H",2846
"Fair",1.01,"H",2846
"Good",1.01,"H",2846
"Ideal",0.73,"E",2846
"Ideal",0.7,"E",2846
"Good",0.7,"F",2846
"Premium",0.77,"E",2846
"Premium",0.77,"G",2846
"Premium",0.77,"G",2846
"Very Good",0.84,"H",2847
"Ideal",0.72,"E",2847
"Premium",0.76,"D",2847
"Very Good",0.7,"G",2848
"Ideal",0.54,"D",2848
"Fair",0.75,"D",2848
"Good",0.79,"E",2849
"Very Good",0.74,"E",2849
"Very Good",0.7,"E",2850
"Ideal",0.7,"F",2850
"Ideal",0.75,"J",2850
"Very Good",1.2,"H",2850
"Very Good",0.8,"F",2851
"Ideal",0.66,"D",2851
"Very Good",0.87,"F",2851
"Premium",0.86,"H",2851
"Ideal",0.74,"F",2851
"Very Good",0.58,"E",2852
"Ideal",0.78,"I",2852
"Ideal",0.74,"G",2852
"Ideal",0.73,"E",2852
"Very Good",0.91,"I",2852
"Premium",0.71,"F",2853
"Good",0.71,"G",2853
"Ideal",0.79,"D",2853
"Premium",0.79,"D",2853
"Premium",0.71,"E",2853
"Premium",0.82,"I",2853
"Very Good",0.78,"H",2854
"Very Good",0.7,"E",2854
"Premium",1.12,"H",2854
"Premium",0.73,"E",2854
"Fair",0.91,"J",2854
"Fair",0.91,"J",2854
"Good",0.91,"J",2854
"Fair",0.91,"H",2854
"Premium",0.7,"E",2854
"Premium",0.68,"F",2854
"Very Good",0.73,"F",2855
"Good",1.03,"J",2855
"Premium",0.74,"D",2855
"Fair",0.98,"E",2855
"Fair",1.02,"I",2856
"Fair",1,"G",2856
"Ideal",1.02,"H",2856
"Ideal",0.6,"F",2856
"Ideal",0.8,"G",2856
"Ideal",0.97,"F",2856
"Fair",1,"I",2856
"Ideal",0.26,"E",556
"Ideal",0.26,"E",556
"Ideal",0.36,"H",556
"Good",0.34,"G",556
"Good",0.34,"E",556
"Good",0.34,"E",556
"Good",0.34,"E",556
"Very Good",0.34,"G",556
"Ideal",0.34,"E",556
"Good",0.32,"E",556
"Ideal",0.31,"I",557
"Ideal",0.31,"I",557
"Ideal",0.31,"I",557
"Ideal",0.31,"I",557
"Ideal",0.31,"I",557
"Ideal",0.31,"I",557
"Ideal",0.31,"G",557
"Ideal",0.31,"H",557
"Ideal",0.31,"H",557
"Premium",0.33,"G",557
"Premium",0.33,"F",557
"Premium",0.33,"G",557
"Ideal",0.33,"G",557
"Premium",0.33,"F",557
"Premium",0.33,"J",557
"Premium",0.33,"J",557
"Ideal",0.33,"J",557
"Ideal",0.33,"I",557
"Good",0.33,"I",557
"Premium",0.33,"I",557
"Fair",1,"H",2856
"Premium",0.77,"F",2856
"Premium",0.77,"F",2856
"Good",0.7,"E",2857
"Very Good",0.9,"G",2857
"Ideal",0.72,"E",2857
"Premium",0.9,"I",2857
"Premium",0.72,"E",2857
"Ideal",0.7,"G",2858
"Very Good",0.81,"F",2858
"Very Good",0.81,"F",2858
"Premium",0.71,"E",2858
"Premium",0.7,"E",2858
"Premium",0.71,"E",2858
"Very Good",0.71,"E",2858
"Premium",0.92,"J",2858
"Ideal",0.76,"E",2858
"Ideal",0.73,"D",2858
"Premium",0.71,"D",2858
"Good",0.7,"E",2858
"Fair",0.9,"G",2858
"Fair",0.71,"D",2858
"Ideal",0.7,"D",2859
"Premium",0.7,"D",2859
"Premium",0.77,"F",2859
"Ideal",0.71,"G",2859
"Premium",0.7,"D",2859
"Fair",0.75,"F",2859
"Premium",0.83,"E",2859
"Very Good",0.71,"F",2860
"Very Good",0.9,"J",2860
"Ideal",0.6,"E",2860
"Premium",0.71,"D",2860
"Ideal",0.53,"F",2860
"Premium",0.71,"D",2861
"Ideal",0.62,"G",2861
"Ideal",0.62,"G",2861
"Premium",0.9,"I",2861
"Fair",0.62,"F",2861
"Premium",0.82,"E",2861
"Premium",0.66,"D",2861
"Very Good",0.7,"D",2862
"Very Good",0.8,"F",2862
"Very Good",0.8,"D",2862
"Premium",0.79,"F",2862
"Very Good",0.71,"F",2862
"Ideal",0.7,"H",2862
"Very Good",0.7,"E",2862
"Premium",0.79,"H",2862
"Premium",0.7,"E",2862
"Premium",1.22,"E",2862
"Fair",1.01,"E",2862
"Premium",0.73,"E",2862
"Good",0.91,"I",2863
"Ideal",0.71,"D",2863
"Premium",0.83,"G",2863
"Premium",0.84,"F",2863
"Premium",0.71,"D",2863
"Premium",0.71,"D",2863
"Premium",0.71,"D",2863
"Ideal",0.71,"D",2863
"Premium",0.71,"D",2863
"Premium",0.71,"D",2863
"Premium",0.91,"J",2863
"Premium",0.9,"J",2863
"Premium",0.71,"H",2863
"Premium",0.71,"E",2863
"Ideal",0.72,"F",2863
"Premium",0.72,"E",2863
"Ideal",0.71,"E",2863
"Ideal",0.81,"E",2864
"Very Good",0.83,"I",2865
"Premium",0.73,"D",2865
"Very Good",0.56,"D",2866
"Very Good",0.56,"D",2866
"Ideal",0.71,"E",2866
"Ideal",0.7,"H",2866
"Premium",0.96,"I",2866
"Very Good",0.71,"H",2867
"Ideal",0.7,"D",2867
"Ideal",0.71,"H",2867
"Premium",0.8,"H",2867
"Premium",0.95,"F",2867
"Ideal",0.82,"F",2867
"Ideal",0.52,"F",2867
"Ideal",0.82,"F",2867
"Ideal",0.82,"F",2867
"Premium",0.82,"F",2867
"Ideal",0.8,"G",2867
"Fair",0.96,"F",2867
"Ideal",0.72,"I",2868
"Ideal",0.62,"G",2868
"Premium",0.79,"E",2868
"Very Good",0.75,"E",2868
"Premium",1.08,"D",2869
"Ideal",0.72,"E",2869
"Ideal",0.62,"G",2869
"Ideal",0.73,"G",2869
"Ideal",0.72,"H",2869
"Premium",0.52,"F",2870
"Ideal",0.83,"E",2870
"Premium",0.64,"E",2870
"Ideal",0.8,"G",2870
"Ideal",0.74,"H",2870
"Ideal",0.72,"F",2870
"Ideal",0.82,"H",2870
"Premium",0.73,"E",2870
"Premium",1.04,"I",2870
"Very Good",0.73,"E",2871
"Good",0.73,"E",2871
"Premium",0.9,"J",2871
"Ideal",0.75,"I",2871
"Ideal",0.79,"G",2871
"Good",0.7,"D",2872
"Very Good",0.75,"D",2872
"Ideal",1.02,"I",2872
"Very Good",0.7,"G",2872
"Ideal",0.7,"D",2872
"Good",0.7,"E",2872
"Ideal",0.7,"D",2872
"Ideal",0.7,"D",2872
"Very Good",0.7,"D",2872
"Very Good",0.72,"E",2872
"Ideal",0.74,"E",2872
"Good",0.84,"G",2872
"Very Good",0.76,"F",2873
"Very Good",0.77,"E",2873
"Ideal",0.76,"E",2873
"Ideal",1,"I",2873
"Fair",1,"H",2873
"Fair",0.9,"I",2873
"Premium",0.9,"J",2873
"Good",0.9,"J",2873
"Fair",0.9,"I",2873
"Fair",0.9,"I",2873
"Premium",0.9,"J",2873
"Premium",0.78,"F",2874
"Premium",0.71,"D",2874
"Premium",0.7,"F",2874
"Premium",0.7,"F",2874
"Premium",0.7,"G",2874
"Ideal",0.7,"F",2874
"Ideal",0.7,"F",2874
"Ideal",0.7,"F",2874
"Premium",0.7,"G",2874
"Fair",1,"H",2875
"Ideal",0.77,"H",2875
"Fair",1,"J",2875
"Fair",1,"I",2875
"Fair",1,"H",2875
"Premium",0.73,"E",2876
"Premium",0.79,"E",2876
"Very Good",0.72,"H",2877
"Ideal",0.71,"E",2877
"Ideal",0.74,"G",2877
"Good",0.7,"H",2877
"Good",0.7,"F",2877
"Very Good",0.79,"F",2878
"Very Good",0.79,"F",2878
"Very Good",0.79,"D",2878
"Ideal",0.71,"I",2878
"Ideal",0.79,"F",2878
"Very Good",0.73,"F",2879
"Premium",0.63,"E",2879
"Premium",0.7,"F",2879
"Premium",0.71,"F",2879
